ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta
ID_32.5_-86.75,Field_32.5_-86.75,32.5,-86.75,2021,Corn,4/15/2021,107
ID_32.5_-86.5,Field_32.5_-86.5,32.5,-86.5,2021,Corn,4/15/2021,105
ID_30.25_-87.75,Field_30.25_-87.75,30.25,-87.75,2021,Corn,4/4/2021,101
ID_31.0_-87.75,Field_31.0_-87.75,31,-87.75,2021,Corn,4/5/2021,104
ID_31.25_-87.75,Field_31.25_-87.75,31.25,-87.75,2021,Corn,4/5/2021,104
ID_31.75_-85.75,Field_31.75_-85.75,31.75,-85.75,2021,Corn,4/15/2021,106
ID_31.75_-85.5,Field_31.75_-85.5,31.75,-85.5,2021,Corn,4/15/2021,105
ID_31.75_-85.25,Field_31.75_-85.25,31.75,-85.25,2021,Corn,4/15/2021,103
ID_32.0_-85.25,Field_32.0_-85.25,32,-85.25,2021,Corn,4/15/2021,104
ID_33.0_-87.5,Field_33.0_-87.5,33,-87.5,2021,Corn,4/29/2021,103
ID_33.0_-87.25,Field_33.0_-87.25,33,-87.25,2021,Corn,4/30/2021,103
ID_33.0_-87.0,Field_33.0_-87.0,33,-87,2021,Corn,4/30/2021,105
ID_33.75_-86.75,Field_33.75_-86.75,33.75,-86.75,2021,Corn,4/30/2021,101
ID_33.75_-86.5,Field_33.75_-86.5,33.75,-86.5,2021,Corn,4/30/2021,102
ID_34.0_-86.75,Field_34.0_-86.75,34,-86.75,2021,Corn,4/30/2021,101
ID_34.0_-86.5,Field_34.0_-86.5,34,-86.5,2021,Corn,5/1/2021,102
ID_32.0_-86.0,Field_32.0_-86.0,32,-86,2021,Corn,5/21/2021,91
ID_32.0_-85.75,Field_32.0_-85.75,32,-85.75,2021,Corn,5/21/2021,90
ID_32.0_-85.5,Field_32.0_-85.5,32,-85.5,2021,Corn,5/21/2021,90
ID_31.5_-86.75,Field_31.5_-86.75,31.5,-86.75,2021,Corn,4/29/2021,102
ID_31.5_-86.5,Field_31.5_-86.5,31.5,-86.5,2021,Corn,4/29/2021,103
ID_31.75_-86.75,Field_31.75_-86.75,31.75,-86.75,2021,Corn,4/29/2021,103
ID_31.75_-86.5,Field_31.75_-86.5,31.75,-86.5,2021,Corn,4/29/2021,103
ID_33.75_-86.0,Field_33.75_-86.0,33.75,-86,2021,Corn,5/21/2021,94
ID_33.75_-85.75,Field_33.75_-85.75,33.75,-85.75,2021,Corn,5/22/2021,94
ID_33.75_-85.5,Field_33.75_-85.5,33.75,-85.5,2021,Corn,5/22/2021,96
ID_32.75_-85.25,Field_32.75_-85.25,32.75,-85.25,2021,Corn,4/30/2021,107
ID_33.0_-85.25,Field_33.0_-85.25,33,-85.25,2021,Corn,4/30/2021,109
ID_34.0_-85.75,Field_34.0_-85.75,34,-85.75,2021,Corn,5/10/2021,85
ID_34.0_-85.5,Field_34.0_-85.5,34,-85.5,2021,Corn,5/10/2021,86
ID_34.25_-85.75,Field_34.25_-85.75,34.25,-85.75,2021,Corn,5/10/2021,87
ID_34.25_-85.5,Field_34.25_-85.5,34.25,-85.5,2021,Corn,5/10/2021,85
ID_32.75_-87.0,Field_32.75_-87.0,32.75,-87,2021,Corn,4/29/2021,105
ID_32.75_-86.75,Field_32.75_-86.75,32.75,-86.75,2021,Corn,4/30/2021,106
ID_32.75_-86.5,Field_32.75_-86.5,32.75,-86.5,2021,Corn,4/30/2021,106
ID_33.0_-86.75,Field_33.0_-86.75,33,-86.75,2021,Corn,4/30/2021,107
ID_33.0_-86.5,Field_33.0_-86.5,33,-86.5,2021,Corn,4/30/2021,107
ID_31.75_-88.5,Field_31.75_-88.5,31.75,-88.5,2021,Corn,4/29/2021,101
ID_31.75_-88.25,Field_31.75_-88.25,31.75,-88.25,2021,Corn,4/29/2021,100
ID_32.0_-88.5,Field_32.0_-88.5,32,-88.5,2021,Corn,4/29/2021,102
ID_32.0_-88.25,Field_32.0_-88.25,32,-88.25,2021,Corn,4/29/2021,101
ID_32.25_-88.5,Field_32.25_-88.5,32.25,-88.5,2021,Corn,4/29/2021,102
ID_32.25_-88.25,Field_32.25_-88.25,32.25,-88.25,2021,Corn,4/29/2021,101
ID_32.25_-88.0,Field_32.25_-88.0,32.25,-88,2021,Corn,4/29/2021,100
ID_31.5_-87.75,Field_31.5_-87.75,31.5,-87.75,2021,Corn,4/29/2021,100
ID_31.75_-88.0,Field_31.75_-88.0,31.75,-88,2021,Corn,4/29/2021,101
ID_31.75_-87.75,Field_31.75_-87.75,31.75,-87.75,2021,Corn,4/29/2021,101
ID_33.25_-86.0,Field_33.25_-86.0,33.25,-86,2021,Corn,5/1/2021,111
ID_33.5_-85.75,Field_33.5_-85.75,33.5,-85.75,2021,Corn,5/1/2021,113
ID_33.5_-85.5,Field_33.5_-85.5,33.5,-85.5,2021,Corn,5/1/2021,113
ID_31.25_-86.0,Field_31.25_-86.0,31.25,-86,2021,Corn,4/14/2021,105
ID_31.5_-86.0,Field_31.5_-86.0,31.5,-86,2021,Corn,4/14/2021,105
ID_34.75_-88.0,Field_34.75_-88.0,34.75,-88,2021,Corn,4/16/2021,109
ID_34.75_-87.75,Field_34.75_-87.75,34.75,-87.75,2021,Corn,4/16/2021,109
ID_31.5_-87.0,Field_31.5_-87.0,31.5,-87,2021,Corn,4/28/2021,98
ID_32.75_-86.25,Field_32.75_-86.25,32.75,-86.25,2021,Corn,4/30/2021,106
ID_33.0_-86.25,Field_33.0_-86.25,33,-86.25,2021,Corn,4/30/2021,108
ID_31.0_-86.75,Field_31.0_-86.75,31,-86.75,2021,Corn,4/28/2021,102
ID_31.0_-86.5,Field_31.0_-86.5,31,-86.5,2021,Corn,4/28/2021,102
ID_31.0_-86.25,Field_31.0_-86.25,31,-86.25,2021,Corn,4/28/2021,103
ID_31.25_-86.75,Field_31.25_-86.75,31.25,-86.75,2021,Corn,4/28/2021,102
ID_31.25_-86.5,Field_31.25_-86.5,31.25,-86.5,2021,Corn,4/29/2021,103
ID_31.25_-86.25,Field_31.25_-86.25,31.25,-86.25,2021,Corn,4/29/2021,103
ID_31.5_-86.25,Field_31.5_-86.25,31.5,-86.25,2021,Corn,4/29/2021,103
ID_31.75_-86.25,Field_31.75_-86.25,31.75,-86.25,2021,Corn,4/29/2021,103
ID_34.0_-87.0,Field_34.0_-87.0,34,-87,2021,Corn,4/30/2021,100
ID_34.25_-87.0,Field_34.25_-87.0,34.25,-87,2021,Corn,5/1/2021,100
ID_34.25_-86.75,Field_34.25_-86.75,34.25,-86.75,2021,Corn,5/1/2021,101
ID_34.25_-86.5,Field_34.25_-86.5,34.25,-86.5,2021,Corn,5/1/2021,103
ID_31.5_-85.75,Field_31.5_-85.75,31.5,-85.75,2021,Corn,4/16/2021,104
ID_31.5_-85.5,Field_31.5_-85.5,31.5,-85.5,2021,Corn,4/16/2021,103
ID_32.0_-87.0,Field_32.0_-87.0,32,-87,2021,Corn,4/21/2021,101
ID_32.25_-87.5,Field_32.25_-87.5,32.25,-87.5,2021,Corn,4/21/2021,101
ID_32.25_-87.25,Field_32.25_-87.25,32.25,-87.25,2021,Corn,4/21/2021,101
ID_32.25_-87.0,Field_32.25_-87.0,32.25,-87,2021,Corn,4/21/2021,101
ID_32.5_-87.5,Field_32.5_-87.5,32.5,-87.5,2021,Corn,4/22/2021,101
ID_32.5_-87.25,Field_32.5_-87.25,32.5,-87.25,2021,Corn,4/22/2021,101
ID_32.5_-87.0,Field_32.5_-87.0,32.5,-87,2021,Corn,4/21/2021,103
ID_34.5_-85.75,Field_34.5_-85.75,34.5,-85.75,2021,Corn,5/14/2021,99
ID_34.5_-85.5,Field_34.5_-85.5,34.5,-85.5,2021,Corn,5/13/2021,99
ID_34.75_-85.75,Field_34.75_-85.75,34.75,-85.75,2021,Corn,5/15/2021,99
ID_34.75_-85.5,Field_34.75_-85.5,34.75,-85.5,2021,Corn,5/14/2021,100
ID_31.0_-87.5,Field_31.0_-87.5,31,-87.5,2021,Corn,4/28/2021,96
ID_31.0_-87.25,Field_31.0_-87.25,31,-87.25,2021,Corn,4/28/2021,97
ID_31.0_-87.0,Field_31.0_-87.0,31,-87,2021,Corn,4/28/2021,96
ID_31.25_-87.5,Field_31.25_-87.5,31.25,-87.5,2021,Corn,4/28/2021,96
ID_31.25_-87.25,Field_31.25_-87.25,31.25,-87.25,2021,Corn,4/28/2021,97
ID_31.25_-87.0,Field_31.25_-87.0,31.25,-87,2021,Corn,4/28/2021,96
ID_34.0_-86.25,Field_34.0_-86.25,34,-86.25,2021,Corn,4/30/2021,99
ID_34.0_-86.0,Field_34.0_-86.0,34,-86,2021,Corn,4/30/2021,99
ID_34.25_-86.0,Field_34.25_-86.0,34.25,-86,2021,Corn,5/1/2021,100
ID_33.75_-87.75,Field_33.75_-87.75,33.75,-87.75,2021,Corn,4/30/2021,101
ID_34.5_-88.0,Field_34.5_-88.0,34.5,-88,2021,Corn,5/1/2021,99
ID_34.5_-87.75,Field_34.5_-87.75,34.5,-87.75,2021,Corn,5/1/2021,100
ID_31.0_-86.0,Field_31.0_-86.0,31,-86,2021,Corn,4/28/2021,98
ID_31.0_-85.75,Field_31.0_-85.75,31,-85.75,2021,Corn,4/28/2021,96
ID_31.0_-85.5,Field_31.0_-85.5,31,-85.5,2021,Corn,4/28/2021,96
ID_31.25_-85.75,Field_31.25_-85.75,31.25,-85.75,2021,Corn,4/28/2021,98
ID_31.25_-85.5,Field_31.25_-85.5,31.25,-85.5,2021,Corn,4/28/2021,97
ID_32.75_-88.0,Field_32.75_-88.0,32.75,-88,2021,Corn,4/29/2021,102
ID_33.0_-88.0,Field_33.0_-88.0,33,-88,2021,Corn,4/29/2021,102
ID_32.75_-87.75,Field_32.75_-87.75,32.75,-87.75,2021,Corn,4/15/2021,106
ID_33.0_-87.75,Field_33.0_-87.75,33,-87.75,2021,Corn,4/14/2021,108
ID_31.5_-85.25,Field_31.5_-85.25,31.5,-85.25,2021,Corn,4/30/2021,95
ID_31.0_-85.25,Field_31.0_-85.25,31,-85.25,2021,Corn,4/27/2021,92
ID_31.25_-85.25,Field_31.25_-85.25,31.25,-85.25,2021,Corn,4/28/2021,92
ID_34.5_-86.0,Field_34.5_-86.0,34.5,-86,2021,Corn,5/11/2021,102
ID_34.75_-86.25,Field_34.75_-86.25,34.75,-86.25,2021,Corn,5/11/2021,101
ID_34.75_-86.0,Field_34.75_-86.0,34.75,-86,2021,Corn,5/11/2021,103
ID_33.25_-87.0,Field_33.25_-87.0,33.25,-87,2021,Corn,4/30/2021,108
ID_33.5_-87.0,Field_33.5_-87.0,33.5,-87,2021,Corn,5/1/2021,107
ID_33.5_-86.75,Field_33.5_-86.75,33.5,-86.75,2021,Corn,5/1/2021,108
ID_33.5_-86.5,Field_33.5_-86.5,33.5,-86.5,2021,Corn,5/1/2021,108
ID_33.75_-88.0,Field_33.75_-88.0,33.75,-88,2021,Corn,5/1/2021,104
ID_34.0_-88.0,Field_34.0_-88.0,34,-88,2021,Corn,5/1/2021,106
ID_34.5_-87.5,Field_34.5_-87.5,34.5,-87.5,2021,Corn,4/15/2021,111
ID_34.5_-87.25,Field_34.5_-87.25,34.5,-87.25,2021,Corn,4/15/2021,110
ID_34.75_-87.5,Field_34.75_-87.5,34.75,-87.5,2021,Corn,4/15/2021,109
ID_34.75_-87.25,Field_34.75_-87.25,34.75,-87.25,2021,Corn,4/14/2021,109
ID_34.75_-87.0,Field_34.75_-87.0,34.75,-87,2021,Corn,4/16/2021,107
ID_32.25_-86.75,Field_32.25_-86.75,32.25,-86.75,2021,Corn,4/26/2021,98
ID_32.25_-86.5,Field_32.25_-86.5,32.25,-86.5,2021,Corn,4/26/2021,97
ID_32.25_-85.75,Field_32.25_-85.75,32.25,-85.75,2021,Corn,4/28/2021,96
ID_32.25_-85.5,Field_32.25_-85.5,32.25,-85.5,2021,Corn,4/28/2021,97
ID_32.5_-86.0,Field_32.5_-86.0,32.5,-86,2021,Corn,4/28/2021,96
ID_32.5_-85.75,Field_32.5_-85.75,32.5,-85.75,2021,Corn,4/28/2021,97
ID_32.5_-85.5,Field_32.5_-85.5,32.5,-85.5,2021,Corn,4/28/2021,100
ID_34.75_-86.75,Field_34.75_-86.75,34.75,-86.75,2021,Corn,5/4/2021,101
ID_34.75_-86.5,Field_34.75_-86.5,34.75,-86.5,2021,Corn,5/4/2021,103
ID_32.0_-88.0,Field_32.0_-88.0,32,-88,2021,Corn,4/14/2021,105
ID_32.0_-87.75,Field_32.0_-87.75,32,-87.75,2021,Corn,4/14/2021,105
ID_32.5_-87.75,Field_32.5_-87.75,32.5,-87.75,2021,Corn,4/15/2021,105
ID_34.0_-87.75,Field_34.0_-87.75,34,-87.75,2021,Corn,5/1/2021,107
ID_34.25_-88.0,Field_34.25_-88.0,34.25,-88,2021,Corn,5/1/2021,107
ID_34.25_-87.75,Field_34.25_-87.75,34.25,-87.75,2021,Corn,5/1/2021,108
ID_34.25_-86.25,Field_34.25_-86.25,34.25,-86.25,2021,Corn,5/27/2021,95
ID_34.5_-86.25,Field_34.5_-86.25,34.5,-86.25,2021,Corn,5/27/2021,95
ID_30.25_-88.0,Field_30.25_-88.0,30.25,-88,2021,Corn,4/27/2021,98
ID_30.5_-88.0,Field_30.5_-88.0,30.5,-88,2021,Corn,4/28/2021,98
ID_30.75_-88.5,Field_30.75_-88.5,30.75,-88.5,2021,Corn,4/28/2021,101
ID_30.75_-88.25,Field_30.75_-88.25,30.75,-88.25,2021,Corn,4/28/2021,100
ID_30.75_-88.0,Field_30.75_-88.0,30.75,-88,2021,Corn,4/28/2021,99
ID_31.0_-88.5,Field_31.0_-88.5,31,-88.5,2021,Corn,4/29/2021,100
ID_31.0_-88.25,Field_31.0_-88.25,31,-88.25,2021,Corn,4/29/2021,101
ID_31.0_-88.0,Field_31.0_-88.0,31,-88,2021,Corn,4/28/2021,100
ID_31.5_-87.5,Field_31.5_-87.5,31.5,-87.5,2021,Corn,4/29/2021,101
ID_31.5_-87.25,Field_31.5_-87.25,31.5,-87.25,2021,Corn,4/29/2021,102
ID_31.75_-87.5,Field_31.75_-87.5,31.75,-87.5,2021,Corn,4/29/2021,102
ID_31.75_-87.25,Field_31.75_-87.25,31.75,-87.25,2021,Corn,4/29/2021,102
ID_31.75_-87.0,Field_31.75_-87.0,31.75,-87,2021,Corn,4/29/2021,102
ID_32.0_-86.25,Field_32.0_-86.25,32,-86.25,2021,Corn,5/4/2021,97
ID_32.25_-86.25,Field_32.25_-86.25,32.25,-86.25,2021,Corn,5/4/2021,95
ID_32.25_-86.0,Field_32.25_-86.0,32.25,-86,2021,Corn,5/4/2021,95
ID_32.5_-86.25,Field_32.5_-86.25,32.5,-86.25,2021,Corn,5/4/2021,95
ID_34.5_-87.0,Field_34.5_-87.0,34.5,-87,2021,Corn,4/26/2021,103
ID_34.5_-86.75,Field_34.5_-86.75,34.5,-86.75,2021,Corn,4/26/2021,104
ID_34.5_-86.5,Field_34.5_-86.5,34.5,-86.5,2021,Corn,4/27/2021,105
ID_32.75_-87.5,Field_32.75_-87.5,32.75,-87.5,2021,Corn,4/22/2021,100
ID_32.75_-87.25,Field_32.75_-87.25,32.75,-87.25,2021,Corn,4/21/2021,102
ID_33.5_-88.0,Field_33.5_-88.0,33.5,-88,2021,Corn,4/19/2021,103
ID_33.25_-85.75,Field_33.25_-85.75,33.25,-85.75,2021,Corn,5/1/2021,112
ID_33.25_-85.5,Field_33.25_-85.5,33.25,-85.5,2021,Corn,5/1/2021,111
ID_32.25_-85.25,Field_32.25_-85.25,32.25,-85.25,2021,Corn,4/29/2021,100
ID_32.5_-85.25,Field_32.5_-85.25,32.5,-85.25,2021,Corn,4/29/2021,103
ID_33.5_-86.25,Field_33.5_-86.25,33.5,-86.25,2021,Corn,5/1/2021,109
ID_33.75_-86.25,Field_33.75_-86.25,33.75,-86.25,2021,Corn,5/1/2021,109
ID_33.25_-86.75,Field_33.25_-86.75,33.25,-86.75,2021,Corn,4/30/2021,109
ID_33.25_-86.5,Field_33.25_-86.5,33.25,-86.5,2021,Corn,4/30/2021,109
ID_32.5_-88.0,Field_32.5_-88.0,32.5,-88,2021,Corn,4/29/2021,100
ID_33.25_-86.25,Field_33.25_-86.25,33.25,-86.25,2021,Corn,4/26/2021,104
ID_33.5_-86.0,Field_33.5_-86.0,33.5,-86,2021,Corn,4/27/2021,104
ID_32.75_-86.0,Field_32.75_-86.0,32.75,-86,2021,Corn,4/28/2021,89
ID_32.75_-85.75,Field_32.75_-85.75,32.75,-85.75,2021,Corn,4/28/2021,89
ID_32.75_-85.5,Field_32.75_-85.5,32.75,-85.5,2021,Corn,4/28/2021,90
ID_33.0_-86.0,Field_33.0_-86.0,33,-86,2021,Corn,4/29/2021,91
ID_33.0_-85.75,Field_33.0_-85.75,33,-85.75,2021,Corn,4/29/2021,91
ID_33.0_-85.5,Field_33.0_-85.5,33,-85.5,2021,Corn,4/29/2021,91
ID_33.25_-87.75,Field_33.25_-87.75,33.25,-87.75,2021,Corn,4/30/2021,104
ID_33.25_-87.5,Field_33.25_-87.5,33.25,-87.5,2021,Corn,4/30/2021,105
ID_33.25_-87.25,Field_33.25_-87.25,33.25,-87.25,2021,Corn,4/30/2021,106
ID_33.5_-87.75,Field_33.5_-87.75,33.5,-87.75,2021,Corn,4/30/2021,104
ID_33.5_-87.5,Field_33.5_-87.5,33.5,-87.5,2021,Corn,4/30/2021,105
ID_33.5_-87.25,Field_33.5_-87.25,33.5,-87.25,2021,Corn,4/30/2021,106
ID_33.75_-87.5,Field_33.75_-87.5,33.75,-87.5,2021,Corn,5/1/2021,104
ID_33.75_-87.25,Field_33.75_-87.25,33.75,-87.25,2021,Corn,5/1/2021,105
ID_33.75_-87.0,Field_33.75_-87.0,33.75,-87,2021,Corn,5/1/2021,105
ID_31.25_-88.5,Field_31.25_-88.5,31.25,-88.5,2021,Corn,4/9/2021,107
ID_31.25_-88.25,Field_31.25_-88.25,31.25,-88.25,2021,Corn,4/9/2021,106
ID_31.25_-88.0,Field_31.25_-88.0,31.25,-88,2021,Corn,4/9/2021,105
ID_31.5_-88.5,Field_31.5_-88.5,31.5,-88.5,2021,Corn,4/9/2021,107
ID_31.5_-88.25,Field_31.5_-88.25,31.5,-88.25,2021,Corn,4/9/2021,107
ID_31.5_-88.0,Field_31.5_-88.0,31.5,-88,2021,Corn,4/9/2021,106
