ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta,Point,State
ID_36.0_-90.0,Field_36.0_-90.0,36.0,-90.0,2021,Corn,5/4/2021,99,POINT (-90 36),Missouri
ID_36.0_-90.25,Field_36.0_-90.25,36.0,-90.25,2021,Corn,5/4/2021,100,POINT (-90.25 36),Missouri
ID_36.25_-89.75,Field_36.25_-89.75,36.25,-89.75,2021,Corn,5/3/2021,101,POINT (-89.75 36.25),Missouri
ID_36.25_-90.0,Field_36.25_-90.0,36.25,-90.0,2021,Corn,5/3/2021,101,POINT (-90 36.25),Missouri
ID_36.5_-89.75,Field_36.5_-89.75,36.5,-89.75,2021,Corn,5/8/2021,99,POINT (-89.75 36.5),Missouri
ID_36.5_-90.0,Field_36.5_-90.0,36.5,-90.0,2021,Corn,5/8/2021,99,POINT (-90 36.5),Missouri
ID_36.5_-90.25,Field_36.5_-90.25,36.5,-90.25,2021,Corn,5/3/2021,102,POINT (-90.25 36.5),Missouri
ID_36.5_-90.5,Field_36.5_-90.5,36.5,-90.5,2021,Corn,5/4/2021,102,POINT (-90.5 36.5),Missouri
ID_36.5_-90.75,Field_36.5_-90.75,36.5,-90.75,2021,Corn,4/16/2021,113,POINT (-90.75 36.5),Missouri
ID_36.5_-91.0,Field_36.5_-91.0,36.5,-91.0,2021,Corn,4/18/2021,112,POINT (-91 36.5),Missouri
ID_36.5_-91.25,Field_36.5_-91.25,36.5,-91.25,2021,Corn,4/20/2021,111,POINT (-91.25 36.5),Missouri
ID_36.5_-91.5,Field_36.5_-91.5,36.5,-91.5,2021,Corn,5/5/2021,107,POINT (-91.5 36.5),Missouri
ID_36.5_-91.75,Field_36.5_-91.75,36.5,-91.75,2021,Corn,5/5/2021,108,POINT (-91.75 36.5),Missouri
ID_36.5_-92.0,Field_36.5_-92.0,36.5,-92.0,2021,Corn,5/5/2021,108,POINT (-92 36.5),Missouri
ID_36.5_-92.25,Field_36.5_-92.25,36.5,-92.25,2021,Corn,5/5/2021,108,POINT (-92.25 36.5),Missouri
ID_36.5_-92.5,Field_36.5_-92.5,36.5,-92.5,2021,Corn,5/5/2021,107,POINT (-92.5 36.5),Missouri
ID_36.5_-92.75,Field_36.5_-92.75,36.5,-92.75,2021,Corn,5/5/2021,108,POINT (-92.75 36.5),Missouri
ID_36.5_-93.0,Field_36.5_-93.0,36.5,-93.0,2021,Corn,5/6/2021,108,POINT (-93 36.5),Missouri
ID_36.5_-93.25,Field_36.5_-93.25,36.5,-93.25,2021,Corn,5/6/2021,109,POINT (-93.25 36.5),Missouri
ID_36.5_-93.5,Field_36.5_-93.5,36.5,-93.5,2021,Corn,5/6/2021,109,POINT (-93.5 36.5),Missouri
ID_36.5_-93.75,Field_36.5_-93.75,36.5,-93.75,2021,Corn,5/7/2021,109,POINT (-93.75 36.5),Missouri
ID_36.5_-94.0,Field_36.5_-94.0,36.5,-94.0,2021,Corn,5/5/2021,106,POINT (-94 36.5),Missouri
ID_36.5_-94.25,Field_36.5_-94.25,36.5,-94.25,2021,Corn,5/5/2021,106,POINT (-94.25 36.5),Missouri
ID_36.5_-94.5,Field_36.5_-94.5,36.5,-94.5,2021,Corn,5/4/2021,104,POINT (-94.5 36.5),Missouri
ID_36.75_-89.25,Field_36.75_-89.25,36.75,-89.25,2021,Corn,5/5/2021,101,POINT (-89.25 36.75),Missouri
ID_36.75_-89.5,Field_36.75_-89.5,36.75,-89.5,2021,Corn,5/8/2021,99,POINT (-89.5 36.75),Missouri
ID_36.75_-89.75,Field_36.75_-89.75,36.75,-89.75,2021,Corn,5/4/2021,101,POINT (-89.75 36.75),Missouri
ID_36.75_-90.0,Field_36.75_-90.0,36.75,-90.0,2021,Corn,5/4/2021,102,POINT (-90 36.75),Missouri
ID_36.75_-90.25,Field_36.75_-90.25,36.75,-90.25,2021,Corn,5/4/2021,102,POINT (-90.25 36.75),Missouri
ID_36.75_-90.5,Field_36.75_-90.5,36.75,-90.5,2021,Corn,5/9/2021,101,POINT (-90.5 36.75),Missouri
ID_36.75_-90.75,Field_36.75_-90.75,36.75,-90.75,2021,Corn,5/17/2021,99,POINT (-90.75 36.75),Missouri
ID_36.75_-91.0,Field_36.75_-91.0,36.75,-91.0,2021,Corn,5/18/2021,99,POINT (-91 36.75),Missouri
ID_36.75_-91.25,Field_36.75_-91.25,36.75,-91.25,2021,Corn,5/18/2021,100,POINT (-91.25 36.75),Missouri
ID_36.75_-91.5,Field_36.75_-91.5,36.75,-91.5,2021,Corn,5/19/2021,100,POINT (-91.5 36.75),Missouri
ID_36.75_-91.75,Field_36.75_-91.75,36.75,-91.75,2021,Corn,5/19/2021,101,POINT (-91.75 36.75),Missouri
ID_36.75_-92.0,Field_36.75_-92.0,36.75,-92.0,2021,Corn,5/3/2021,112,POINT (-92 36.75),Missouri
ID_36.75_-92.25,Field_36.75_-92.25,36.75,-92.25,2021,Corn,5/7/2021,109,POINT (-92.25 36.75),Missouri
ID_36.75_-92.5,Field_36.75_-92.5,36.75,-92.5,2021,Corn,5/7/2021,109,POINT (-92.5 36.75),Missouri
ID_36.75_-92.75,Field_36.75_-92.75,36.75,-92.75,2021,Corn,5/7/2021,109,POINT (-92.75 36.75),Missouri
ID_36.75_-93.0,Field_36.75_-93.0,36.75,-93.0,2021,Corn,5/19/2021,100,POINT (-93 36.75),Missouri
ID_36.75_-93.25,Field_36.75_-93.25,36.75,-93.25,2021,Corn,5/19/2021,100,POINT (-93.25 36.75),Missouri
ID_36.75_-93.5,Field_36.75_-93.5,36.75,-93.5,2021,Corn,5/19/2021,100,POINT (-93.5 36.75),Missouri
ID_36.75_-93.75,Field_36.75_-93.75,36.75,-93.75,2021,Corn,5/19/2021,102,POINT (-93.75 36.75),Missouri
ID_36.75_-94.0,Field_36.75_-94.0,36.75,-94.0,2021,Corn,5/19/2021,103,POINT (-94 36.75),Missouri
ID_36.75_-94.25,Field_36.75_-94.25,36.75,-94.25,2021,Corn,5/16/2021,91,POINT (-94.25 36.75),Missouri
ID_36.75_-94.5,Field_36.75_-94.5,36.75,-94.5,2021,Corn,5/15/2021,90,POINT (-94.5 36.75),Missouri
ID_37.0_-100.75,Field_37.0_-100.75,37.0,-100.75,2021,Corn,5/24/2021,93,POINT (-100.75 37),Kansas
ID_37.0_-101.0,Field_37.0_-101.0,37.0,-101.0,2021,Corn,5/31/2021,90,POINT (-101 37),Kansas
ID_37.0_-101.25,Field_37.0_-101.25,37.0,-101.25,2021,Corn,5/31/2021,91,POINT (-101.25 37),Kansas
ID_37.0_-101.5,Field_37.0_-101.5,37.0,-101.5,2021,Corn,5/31/2021,92,POINT (-101.5 37),Kansas
ID_37.0_-101.75,Field_37.0_-101.75,37.0,-101.75,2021,Corn,5/24/2021,95,POINT (-101.75 37),Kansas
ID_37.0_-102.0,Field_37.0_-102.0,37.0,-102.0,2021,Corn,5/30/2021,90,POINT (-102 37),Kansas
ID_37.0_-89.25,Field_37.0_-89.25,37.0,-89.25,2021,Corn,5/5/2021,102,POINT (-89.25 37),Missouri
ID_37.0_-89.5,Field_37.0_-89.5,37.0,-89.5,2021,Corn,5/5/2021,103,POINT (-89.5 37),Missouri
ID_37.0_-89.75,Field_37.0_-89.75,37.0,-89.75,2021,Corn,5/4/2021,103,POINT (-89.75 37),Missouri
ID_37.0_-90.0,Field_37.0_-90.0,37.0,-90.0,2021,Corn,5/4/2021,103,POINT (-90 37),Missouri
ID_37.0_-90.25,Field_37.0_-90.25,37.0,-90.25,2021,Corn,5/17/2021,100,POINT (-90.25 37),Missouri
ID_37.0_-90.5,Field_37.0_-90.5,37.0,-90.5,2021,Corn,5/18/2021,100,POINT (-90.5 37),Missouri
ID_37.0_-90.75,Field_37.0_-90.75,37.0,-90.75,2021,Corn,5/18/2021,101,POINT (-90.75 37),Missouri
ID_37.0_-91.0,Field_37.0_-91.0,37.0,-91.0,2021,Corn,5/19/2021,101,POINT (-91 37),Missouri
ID_37.0_-91.25,Field_37.0_-91.25,37.0,-91.25,2021,Corn,5/19/2021,102,POINT (-91.25 37),Missouri
ID_37.0_-91.5,Field_37.0_-91.5,37.0,-91.5,2021,Corn,5/19/2021,104,POINT (-91.5 37),Missouri
ID_37.0_-91.75,Field_37.0_-91.75,37.0,-91.75,2021,Corn,5/20/2021,103,POINT (-91.75 37),Missouri
ID_37.0_-92.0,Field_37.0_-92.0,37.0,-92.0,2021,Corn,5/4/2021,114,POINT (-92 37),Missouri
ID_37.0_-92.25,Field_37.0_-92.25,37.0,-92.25,2021,Corn,5/8/2021,110,POINT (-92.25 37),Missouri
ID_37.0_-92.5,Field_37.0_-92.5,37.0,-92.5,2021,Corn,5/8/2021,111,POINT (-92.5 37),Missouri
ID_37.0_-92.75,Field_37.0_-92.75,37.0,-92.75,2021,Corn,5/8/2021,112,POINT (-92.75 37),Missouri
ID_37.0_-93.0,Field_37.0_-93.0,37.0,-93.0,2021,Corn,5/20/2021,103,POINT (-93 37),Missouri
ID_37.0_-93.25,Field_37.0_-93.25,37.0,-93.25,2021,Corn,5/19/2021,102,POINT (-93.25 37),Missouri
ID_37.0_-93.5,Field_37.0_-93.5,37.0,-93.5,2021,Corn,5/19/2021,102,POINT (-93.5 37),Missouri
ID_37.0_-93.75,Field_37.0_-93.75,37.0,-93.75,2021,Corn,5/5/2021,107,POINT (-93.75 37),Missouri
ID_37.0_-94.0,Field_37.0_-94.0,37.0,-94.0,2021,Corn,5/5/2021,106,POINT (-94 37),Missouri
ID_37.0_-94.25,Field_37.0_-94.25,37.0,-94.25,2021,Corn,5/16/2021,91,POINT (-94.25 37),Missouri
ID_37.0_-94.5,Field_37.0_-94.5,37.0,-94.5,2021,Corn,5/15/2021,90,POINT (-94.5 37),Missouri
ID_37.0_-94.75,Field_37.0_-94.75,37.0,-94.75,2021,Corn,4/13/2021,114,POINT (-94.75 37),Kansas
ID_37.0_-95.0,Field_37.0_-95.0,37.0,-95.0,2021,Corn,5/4/2021,99,POINT (-95 37),Kansas
ID_37.0_-95.25,Field_37.0_-95.25,37.0,-95.25,2021,Corn,5/4/2021,99,POINT (-95.25 37),Kansas
ID_37.0_-95.5,Field_37.0_-95.5,37.0,-95.5,2021,Corn,5/1/2021,100,POINT (-95.5 37),Kansas
ID_37.0_-95.75,Field_37.0_-95.75,37.0,-95.75,2021,Corn,4/28/2021,100,POINT (-95.75 37),Kansas
ID_37.0_-96.0,Field_37.0_-96.0,37.0,-96.0,2021,Corn,5/20/2021,96,POINT (-96 37),Kansas
ID_37.0_-96.25,Field_37.0_-96.25,37.0,-96.25,2021,Corn,5/21/2021,97,POINT (-96.25 37),Kansas
ID_37.0_-96.5,Field_37.0_-96.5,37.0,-96.5,2021,Corn,5/23/2021,97,POINT (-96.5 37),Kansas
ID_37.0_-96.75,Field_37.0_-96.75,37.0,-96.75,2021,Corn,4/30/2021,107,POINT (-96.75 37),Kansas
ID_37.0_-97.0,Field_37.0_-97.0,37.0,-97.0,2021,Corn,4/30/2021,104,POINT (-97 37),Kansas
ID_37.0_-97.25,Field_37.0_-97.25,37.0,-97.25,2021,Corn,5/3/2021,100,POINT (-97.25 37),Kansas
ID_37.0_-97.5,Field_37.0_-97.5,37.0,-97.5,2021,Corn,5/3/2021,100,POINT (-97.5 37),Kansas
ID_37.0_-97.75,Field_37.0_-97.75,37.0,-97.75,2021,Corn,4/28/2021,97,POINT (-97.75 37),Kansas
